loan_id,origination_date,principal_amount,interest_rate,term_months,risk_grade,purpose,state,monthly_income
L00001,2024-04-08,50000,17.48,24,C,personal,Rajasthan,25000
L00002,2024-04-08,50000,16.06,12,C,education,Telangana,150000
L00003,2024-10-09,750000,16.44,12,C,vehicle,West Bengal,50000
L00004,2024-06-04,200000,11.91,12,A,consumer_durable,Karnataka,50000
L00005,2024-12-15,300000,21.61,12,D,consumer_durable,Karnataka,100000
L00006,2024-12-03,500000,11.15,12,A,vehicle,Delhi,25000
L00007,2024-08-21,100000,20.76,36,D,vehicle,Gujarat,50000
L00008,2024-11-21,300000,11.4,12,A,education,Tamil Nadu,100000
L00009,2024-05-21,150000,16.92,24,C,business,Maharashtra,35000
L00010,2024-02-07,500000,20.8,36,D,vehicle,Andhra Pradesh,75000
L00011,2024-03-08,1000000,20.29,36,D,education,West Bengal,100000
L00012,2024-03-17,200000,14.99,48,B,personal,Maharashtra,25000
L00013,2024-07-20,150000,11.58,12,A,consumer_durable,West Bengal,100000
L00014,2024-01-22,300000,26.94,12,E,education,Delhi,150000
L00015,2024-08-01,300000,13.87,36,B,education,Tamil Nadu,100000
L00016,2024-09-20,300000,21.68,24,D,vehicle,Gujarat,35000
L00017,2024-08-01,50000,14.2,12,B,business,Delhi,35000
L00018,2024-08-27,100000,10.17,12,A,education,Tamil Nadu,35000
L00019,2024-10-14,150000,16.53,24,C,education,Telangana,150000
L00020,2024-09-15,500000,13.88,12,B,vehicle,Telangana,25000
L00021,2024-01-03,200000,14.18,12,B,vehicle,Karnataka,25000
L00022,2024-05-22,100000,21.03,48,D,vehicle,Rajasthan,35000
L00023,2024-08-26,1000000,16.49,48,C,vehicle,Karnataka,25000
L00024,2024-08-28,500000,16.85,12,C,personal,Maharashtra,75000
L00025,2024-04-18,100000,16.5,48,C,vehicle,West Bengal,35000
L00026,2024-02-15,200000,11.75,12,A,personal,Rajasthan,25000
L00027,2024-08-16,200000,25.33,24,E,consumer_durable,Maharashtra,35000
L00028,2024-08-10,750000,13.53,48,B,education,Andhra Pradesh,35000
L00029,2024-10-24,200000,11.94,12,A,business,Maharashtra,25000
L00030,2024-09-03,150000,16.11,24,C,personal,Kerala,25000
L00031,2024-10-08,200000,16.81,12,C,education,Karnataka,75000
L00032,2024-04-22,500000,17.87,36,C,vehicle,Delhi,75000
L00033,2024-02-01,300000,10.91,48,A,education,Kerala,25000
L00034,2024-03-12,200000,11.01,12,A,vehicle,Gujarat,50000
L00035,2024-11-17,300000,11.22,12,A,education,Delhi,150000
L00036,2024-02-24,150000,10.53,24,A,business,Delhi,100000
L00037,2024-11-28,500000,10.41,36,A,education,Andhra Pradesh,50000
L00038,2024-07-27,50000,20.18,36,D,personal,Maharashtra,50000
L00039,2024-08-18,300000,16.32,48,C,education,Maharashtra,25000
L00040,2024-06-19,150000,11.09,24,A,consumer_durable,Tamil Nadu,25000
L00041,2024-04-22,50000,14.8,24,B,personal,Gujarat,100000
L00042,2024-12-05,750000,21.95,24,D,vehicle,Tamil Nadu,75000
L00043,2024-07-26,500000,11.56,24,A,business,Tamil Nadu,150000
L00044,2024-04-07,50000,11.72,48,A,business,Delhi,35000
L00045,2024-05-28,200000,10.8,12,A,business,Gujarat,150000
L00046,2024-02-09,500000,14.88,24,B,education,Delhi,25000
L00047,2024-06-14,750000,10.69,12,A,consumer_durable,Kerala,35000
L00048,2024-09-22,750000,10.0,24,A,business,West Bengal,25000
L00049,2024-11-28,500000,26.25,12,E,business,Rajasthan,50000
L00050,2024-05-18,500000,16.8,24,C,vehicle,West Bengal,150000
L00051,2024-05-13,150000,26.23,12,E,business,Delhi,35000
L00052,2024-08-22,500000,13.93,24,B,education,Andhra Pradesh,150000
L00053,2024-11-21,100000,10.57,36,A,personal,Telangana,150000
L00054,2024-01-08,200000,13.29,48,B,education,Karnataka,75000
L00055,2024-07-16,200000,14.44,48,B,vehicle,Tamil Nadu,150000
L00056,2024-04-06,100000,17.56,48,C,personal,Rajasthan,35000
L00057,2024-08-22,100000,20.91,36,D,consumer_durable,Kerala,150000
L00058,2024-09-15,750000,21.66,24,D,consumer_durable,Andhra Pradesh,50000
L00059,2024-09-16,300000,17.53,24,C,business,Andhra Pradesh,25000
L00060,2024-06-18,200000,16.54,12,C,vehicle,Tamil Nadu,35000
L00061,2024-02-14,150000,14.41,48,B,business,Rajasthan,75000
L00062,2024-07-25,200000,14.67,12,B,education,West Bengal,75000
L00063,2024-07-28,500000,10.6,48,A,education,Rajasthan,100000
L00064,2024-07-16,1000000,20.44,12,D,consumer_durable,Gujarat,150000
L00065,2024-08-05,750000,17.45,12,C,consumer_durable,Kerala,100000
L00066,2024-03-28,100000,17.29,48,C,vehicle,Maharashtra,50000
L00067,2024-06-25,200000,13.91,48,B,business,West Bengal,50000
L00068,2024-09-02,1000000,20.04,36,D,vehicle,Karnataka,150000
L00069,2024-04-27,50000,11.9,12,A,education,Tamil Nadu,35000
L00070,2024-04-15,100000,11.13,36,A,business,Tamil Nadu,100000
L00071,2024-03-10,100000,17.56,12,C,education,Maharashtra,50000
L00072,2024-12-07,750000,13.79,12,B,education,Telangana,25000
L00073,2024-10-26,300000,17.7,12,C,education,Maharashtra,50000
L00074,2024-11-11,500000,13.14,12,B,consumer_durable,Andhra Pradesh,25000
L00075,2024-08-23,500000,14.27,24,B,consumer_durable,Tamil Nadu,150000
L00076,2024-09-25,300000,14.23,48,B,consumer_durable,West Bengal,150000
L00077,2024-02-09,500000,17.7,48,C,vehicle,Andhra Pradesh,100000
L00078,2024-08-28,750000,16.67,36,C,vehicle,Andhra Pradesh,35000
L00079,2024-10-23,300000,13.68,36,B,education,Maharashtra,100000
L00080,2024-07-16,100000,25.48,24,E,consumer_durable,Andhra Pradesh,75000
L00081,2024-07-23,100000,16.59,24,C,business,Kerala,50000
L00082,2024-12-18,500000,13.85,36,B,business,Andhra Pradesh,50000
L00083,2024-04-11,200000,13.24,12,B,education,Tamil Nadu,35000
L00084,2024-10-25,1000000,10.55,36,A,personal,Telangana,50000
L00085,2024-12-18,150000,10.6,24,A,business,Maharashtra,25000
L00086,2024-08-04,150000,14.28,12,B,education,Delhi,75000
L00087,2024-01-09,500000,13.37,48,B,personal,Karnataka,75000
L00088,2024-10-10,50000,13.3,12,B,vehicle,Karnataka,100000
L00089,2024-07-15,200000,17.55,48,C,business,Kerala,75000
L00090,2024-12-04,50000,14.22,24,B,vehicle,Delhi,150000
L00091,2024-02-06,200000,10.35,12,A,consumer_durable,Andhra Pradesh,150000
L00092,2024-05-23,300000,16.07,36,C,consumer_durable,Karnataka,150000
L00093,2024-11-19,300000,11.58,24,A,consumer_durable,Karnataka,100000
L00094,2024-03-03,150000,11.82,12,A,vehicle,Delhi,100000
L00095,2024-08-23,300000,16.88,36,C,consumer_durable,Delhi,100000
L00096,2024-01-14,1000000,13.16,36,B,education,Delhi,25000
L00097,2024-11-27,50000,12.0,36,A,education,Maharashtra,35000
L00098,2024-03-19,1000000,14.83,48,B,consumer_durable,Karnataka,75000
L00099,2024-02-28,500000,13.64,24,B,business,West Bengal,150000
L00100,2024-09-02,750000,14.63,48,B,personal,Gujarat,50000
L00101,2024-01-22,750000,14.73,48,B,consumer_durable,Maharashtra,35000
L00102,2024-01-07,1000000,14.25,36,B,education,Tamil Nadu,50000
L00103,2024-11-20,1000000,13.24,24,B,vehicle,Delhi,100000
L00104,2024-02-15,750000,10.19,12,A,vehicle,Andhra Pradesh,150000
L00105,2024-08-16,300000,10.83,24,A,consumer_durable,Rajasthan,35000
L00106,2024-05-25,150000,14.73,48,B,business,Rajasthan,50000
L00107,2024-10-19,300000,21.45,48,D,vehicle,Andhra Pradesh,100000
L00108,2024-09-13,500000,14.1,48,B,business,Telangana,150000
L00109,2024-07-02,750000,10.47,36,A,consumer_durable,West Bengal,75000
L00110,2024-01-05,150000,25.99,36,E,personal,Andhra Pradesh,25000
L00111,2024-03-14,1000000,13.03,24,B,personal,Andhra Pradesh,50000
L00112,2024-06-28,750000,14.3,48,B,business,Andhra Pradesh,100000
