loan_id,report_month,dpd,outstanding_balance,emi_amount,status,recovery_amount
L00001,2025-01,0,47667,2333,current,0
L00001,2025-02,0,45334,2333,current,0
L00001,2025-03,0,43001,2333,current,0
L00001,2025-04,0,40668,2333,current,0
L00001,2025-05,0,38335,2333,current,0
L00001,2025-06,0,36002,2333,current,0
L00001,2025-07,0,33669,2333,current,0
L00001,2025-08,0,31336,2333,current,0
L00001,2025-09,0,29003,2333,current,0
L00001,2025-10,0,26670,2333,current,0
L00001,2025-11,0,24337,2333,current,0
L00001,2025-12,0,22004,2333,current,0
L00002,2025-01,0,45333,4667,current,0
L00002,2025-02,0,40666,4667,current,0
L00002,2025-03,0,35999,4667,current,0
L00002,2025-04,0,31332,4667,current,0
L00002,2025-05,0,26665,4667,current,0
L00002,2025-06,0,21998,4667,current,0
L00002,2025-07,0,17331,4667,current,0
L00002,2025-08,0,12664,4667,current,0
L00002,2025-09,0,7997,4667,current,0
L00002,2025-10,0,3330,4667,current,0
L00002,2025-11,0,0,4667,current,0
L00002,2025-12,17,0,4667,dpd_1_30,0
L00003,2025-01,0,680000,70000,current,0
L00003,2025-02,0,610000,70000,current,0
L00003,2025-03,0,540000,70000,current,0
L00003,2025-04,0,470000,70000,current,0
L00003,2025-05,0,400000,70000,current,0
L00003,2025-06,15,367267,70000,dpd_1_30,0
L00003,2025-07,0,297267,70000,current,0
L00003,2025-08,0,227267,70000,current,0
L00003,2025-09,0,157267,70000,current,0
L00003,2025-10,0,87267,70000,current,0
L00003,2025-11,0,17267,70000,current,0
L00003,2025-12,3,0,70000,dpd_1_30,0
L00004,2025-01,0,181333,18667,current,0
L00004,2025-02,0,162666,18667,current,0
L00004,2025-03,0,143999,18667,current,0
L00004,2025-04,0,125332,18667,current,0
L00004,2025-05,0,106665,18667,current,0
L00004,2025-06,0,87998,18667,current,0
L00004,2025-07,0,69331,18667,current,0
L00004,2025-08,0,50664,18667,current,0
L00004,2025-09,0,31997,18667,current,0
L00004,2025-10,0,13330,18667,current,0
L00004,2025-11,0,0,18667,current,0
L00004,2025-12,0,0,18667,current,0
L00005,2025-01,23,296452,28000,dpd_1_30,0
L00005,2025-02,59,290912,28000,dpd_31_60,0
L00005,2025-03,85,288871,28000,dpd_61_90,0
L00005,2025-04,81,276348,28000,dpd_61_90,0
L00005,2025-05,101,270430,28000,dpd_90_plus,0
L00005,2025-06,157,259137,28000,dpd_90_plus,0
L00005,2025-07,999,259137,28000,charged_off,0
L00005,2025-08,999,259137,28000,charged_off,0
L00005,2025-09,999,259137,28000,charged_off,36277
L00005,2025-10,999,259137,28000,charged_off,0
L00005,2025-11,999,259137,28000,charged_off,0
L00005,2025-12,999,259137,28000,charged_off,0
L00006,2025-01,0,453333,46667,current,0
L00006,2025-02,0,406666,46667,current,0
L00006,2025-03,0,359999,46667,current,0
L00006,2025-04,0,313332,46667,current,0
L00006,2025-05,0,266665,46667,current,0
L00006,2025-06,0,219998,46667,current,0
L00006,2025-07,0,173331,46667,current,0
L00006,2025-08,0,126664,46667,current,0
L00006,2025-09,9,119135,46667,dpd_1_30,0
L00006,2025-10,51,111985,46667,dpd_31_60,0
L00006,2025-11,39,103326,46667,dpd_31_60,0
L00006,2025-12,80,97526,46667,dpd_61_90,0
L00007,2025-01,0,96889,3111,current,0
L00007,2025-02,0,93778,3111,current,0
L00007,2025-03,0,90667,3111,current,0
L00007,2025-04,0,87556,3111,current,0
L00007,2025-05,26,87528,3111,dpd_1_30,0
L00007,2025-06,47,86910,3111,dpd_31_60,0
L00007,2025-07,81,85763,3111,dpd_61_90,0
L00007,2025-08,175,84304,3111,dpd_90_plus,0
L00007,2025-09,12,84066,3111,dpd_1_30,0
L00007,2025-10,0,80955,3111,current,0
L00007,2025-11,0,77844,3111,current,0
L00007,2025-12,0,74733,3111,current,0
L00008,2025-01,0,272000,28000,current,0
L00008,2025-02,0,244000,28000,current,0
L00008,2025-03,0,216000,28000,current,0
L00008,2025-04,0,188000,28000,current,0
L00008,2025-05,0,160000,28000,current,0
L00008,2025-06,0,132000,28000,current,0
L00008,2025-07,0,104000,28000,current,0
