report_month,dpd_bucket,accounts,outstanding,pct_of_book
2025-01,current,4638,1684692812.0,92.76
2025-01,dpd_1_30,362,131362703.0,7.24
2025-02,current,4483,1548588288.0,89.66
2025-02,dpd_1_30,411,143453914.0,8.22
2025-02,dpd_31_60,106,39239728.0,2.12
2025-03,current,4364,1438977908.0,87.28
2025-03,dpd_1_30,430,138898847.0,8.6
2025-03,dpd_31_60,151,49193526.0,3.02
2025-03,dpd_61_90,55,20962937.0,1.1
2025-04,current,4295,1334223673.0,85.9
2025-04,dpd_1_30,417,134170815.0,8.34
2025-04,dpd_31_60,164,52941635.0,3.28
2025-04,dpd_61_90,90,31150382.0,1.8
2025-04,dpd_90_plus,34,13460764.0,0.68
2025-05,charged_off,13,3753881.0,0.26
2025-05,current,4244,1238375783.0,84.88
2025-05,dpd_1_30,394,123050847.0,7.88
2025-05,dpd_31_60,168,53386327.0,3.36
2025-05,dpd_61_90,105,35951703.0,2.1
2025-05,dpd_90_plus,76,30529160.0,1.52
2025-06,charged_off,40,11833858.0,0.8
2025-06,current,4204,1147303334.0,84.08
2025-06,dpd_1_30,385,120685056.0,7.7
2025-06,dpd_31_60,149,46982299.0,2.98
2025-06,dpd_61_90,119,39253488.0,2.38
2025-06,dpd_90_plus,103,38844028.0,2.06
2025-07,charged_off,86,30316092.0,1.72
2025-07,current,4126,1066344258.0,82.52
2025-07,dpd_1_30,394,105407963.0,7.88
2025-07,dpd_31_60,155,47925355.0,3.1
2025-07,dpd_61_90,122,40567437.0,2.44
2025-07,dpd_90_plus,117,36090154.0,2.34
2025-08,charged_off,127,43193931.0,2.54
2025-08,current,4079,982017355.0,81.58
2025-08,dpd_1_30,373,92863739.0,7.46
2025-08,dpd_31_60,170,51486828.0,3.4
2025-08,dpd_61_90,115,34764954.0,2.3
2025-08,dpd_90_plus,136,44671414.0,2.72
2025-09,charged_off,173,58550623.0,3.46
2025-09,current,3986,898096235.0,79.72
2025-09,dpd_1_30,411,92364568.0,8.22
2025-09,dpd_31_60,171,45284277.0,3.42
2025-09,dpd_61_90,106,29475998.0,2.12
2025-09,dpd_90_plus,153,48432697.0,3.06
2025-10,charged_off,235,81616804.0,4.7
2025-10,current,3962,814767574.0,79.24
2025-10,dpd_1_30,371,87503323.0,7.42
2025-10,dpd_31_60,174,41383538.0,3.48
2025-10,dpd_61_90,112,32695250.0,2.24
2025-10,dpd_90_plus,146,38711805.0,2.92
2025-11,charged_off,290,94318167.0,5.8
2025-11,current,3918,751813327.0,78.36
2025-11,dpd_1_30,390,81859744.0,7.8
2025-11,dpd_31_60,140,31384593.0,2.8
2025-11,dpd_61_90,121,28370204.0,2.42
2025-11,dpd_90_plus,141,39601360.0,2.82
2025-12,charged_off,342,109341763.0,6.84
2025-12,current,3896,702362246.0,77.92
2025-12,dpd_1_30,364,70848244.0,7.28
2025-12,dpd_31_60,146,33493372.0,2.92
2025-12,dpd_61_90,101,20208245.0,2.02
2025-12,dpd_90_plus,151,39054782.0,3.02
