from_bucket,to_bucket,accounts,roll_rate_pct
charged_off,charged_off,964,100.0
current,current,43116,93.13
current,dpd_1_30,3183,6.87
dpd_1_30,current,2120,48.87
dpd_1_30,dpd_1_30,934,21.53
dpd_1_30,dpd_31_60,1284,29.6
dpd_31_60,current,241,15.57
dpd_31_60,dpd_1_30,181,11.69
dpd_31_60,dpd_31_60,310,20.03
dpd_31_60,dpd_61_90,816,52.71
dpd_61_90,current,65,6.88
dpd_61_90,dpd_1_30,30,3.17
dpd_61_90,dpd_31_60,79,8.36
dpd_61_90,dpd_61_90,178,18.84
dpd_61_90,dpd_90_plus,593,62.75
dpd_90_plus,charged_off,342,37.75
dpd_90_plus,current,15,1.66
dpd_90_plus,dpd_1_30,12,1.32
dpd_90_plus,dpd_31_60,21,2.32
dpd_90_plus,dpd_61_90,52,5.74
dpd_90_plus,dpd_90_plus,464,51.21
